date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,WS10M,WS10M_MAX,RH2M,PS,QV2M,ALLSKY_SFC_SW_DWN
2005-04-08,7.36,13.31,2.12,0.0,0.58,3.46,4.09,78.61,94.05,5.41,5.407
2005-04-09,9.97,17.28,3.46,0.0,0.48,2.93,4.02,75.36,93.79,6.16,5.0292
2005-04-10,11.94,18.5,6.59,0.0,0.43,1.61,2.51,70.95,93.92,6.5,5.5925
2005-04-11,11.78,18.14,4.65,0.0,0.49,1.61,2.26,68.0,94.04,6.15,5.9182
2005-04-12,13.39,22.04,4.6,0.0,0.51,1.6,2.6,59.42,93.95,5.73,6.1015
2005-04-13,13.61,22.07,6.69,0.0,0.52,3.0,3.9,68.88,93.63,7.1,5.5721
2005-04-14,14.81,21.22,10.71,0.02,0.56,3.7,5.41,71.59,93.41,8.04,4.8041
2005-04-15,13.0,19.06,8.73,3.75,0.37,1.68,3.04,82.24,93.08,8.19,3.264
2005-04-16,9.86,13.65,8.14,4.21,0.28,1.17,1.8,87.68,93.2,7.1,3.3526
2005-04-17,10.42,15.26,6.39,1.65,0.25,1.26,2.67,81.98,93.36,6.82,3.6677
2005-04-18,10.85,18.24,5.09,0.05,0.32,2.15,2.82,80.21,93.28,7.02,2.4036
2005-04-19,12.96,19.35,7.06,6.22,0.33,2.07,3.48,80.57,93.05,7.93,3.6494
2005-04-20,10.98,17.36,5.22,0.99,0.28,1.56,2.61,74.18,93.57,6.26,5.5022
2005-04-21,13.72,24.05,5.06,0.0,0.3,1.8,2.56,65.14,93.81,6.39,5.5896
2005-04-22,17.27,25.42,9.47,0.0,0.36,1.89,3.08,63.27,93.62,8.11,4.0838
2005-04-23,15.97,18.67,13.41,1.13,0.38,1.62,2.61,79.08,93.58,9.59,3.738
2005-04-24,10.59,13.1,7.35,22.76,0.11,1.1,2.13,93.25,94.04,7.95,0.972
2005-04-25,7.71,10.77,5.32,20.28,0.12,1.2,2.51,92.0,94.01,6.42,0.9358
2005-04-26,8.64,12.51,5.07,4.31,0.18,0.7,1.4,86.49,93.74,6.44,2.6981
2005-04-27,9.64,13.58,7.08,0.77,0.21,0.7,1.47,86.32,93.27,6.89,4.5929
2005-04-28,9.22,15.42,5.88,1.04,0.15,1.54,3.38,82.37,93.44,6.25,3.4397
2005-04-29,9.69,14.92,5.33,1.11,0.26,1.04,2.13,77.22,93.31,6.06,5.2586
2005-04-30,12.5,21.85,3.86,1.17,0.18,1.82,3.14,70.33,92.89,6.66,6.6065
2005-05-01,10.68,15.96,6.77,5.82,0.12,1.3,2.26,84.12,93.27,7.08,3.2822
2005-05-02,8.09,11.31,6.34,12.0,0.13,1.51,2.33,91.06,93.4,6.53,2.0388
2005-05-03,5.88,7.78,3.62,19.65,0.1,1.66,2.9,94.67,93.01,5.89,1.4292
2005-05-04,4.7,7.19,2.56,16.8,0.07,0.86,2.0,95.14,93.01,5.48,2.4734
2005-05-05,7.01,10.28,4.67,14.39,0.15,1.25,2.69,94.28,93.11,6.33,2.4125
2005-05-06,12.84,19.42,4.78,0.04,0.32,1.27,1.82,68.12,93.15,6.34,6.9456
2005-05-07,16.36,21.77,9.5,0.0,0.29,1.28,1.99,68.51,93.26,8.39,6.4349
2005-05-08,16.91,23.83,12.29,2.9,0.24,1.44,2.6,78.51,93.15,9.97,3.4195
2005-05-09,11.4,13.44,8.9,10.08,0.26,1.77,3.11,92.85,93.65,8.35,2.1326
2005-05-10,14.5,20.46,6.82,0.58,0.38,1.21,2.34,64.51,93.92,6.7,7.5449
2005-05-11,16.66,25.09,7.96,0.0,0.42,1.94,2.64,64.92,93.82,7.95,7.7921
2005-05-12,17.25,24.3,11.18,0.06,0.26,1.98,3.28,73.08,93.77,9.43,7.0836
2005-05-13,16.11,23.14,10.9,0.52,0.3,1.81,2.66,76.39,93.73,9.11,6.4416
2005-05-14,10.79,13.15,9.18,5.09,0.1,1.3,2.24,91.68,93.91,7.87,1.4052
2005-05-15,11.2,15.56,8.69,2.08,0.14,1.19,2.35,88.63,93.98,7.76,3.961
2005-05-16,13.27,18.11,9.24,0.37,0.26,1.17,2.25,82.53,93.78,8.33,4.0488
2005-05-17,14.96,21.66,9.94,0.0,0.34,1.44,2.58,77.98,93.93,8.59,6.9866
2005-05-18,15.2,20.63,10.42,0.02,0.32,1.25,2.22,79.8,94.04,9.02,7.0267
2005-05-19,16.21,22.33,10.63,0.29,0.23,2.68,3.47,76.78,93.73,9.26,6.6072
2005-05-20,16.6,21.64,12.11,0.19,0.22,3.5,4.24,70.22,93.7,8.7,7.4383
2005-05-21,17.28,22.58,12.43,0.0,0.27,4.07,4.63,59.33,93.67,7.72,7.993
2005-05-22,18.52,24.62,13.49,0.0,0.21,3.22,3.7,58.51,93.58,8.28,7.9471
2005-05-23,19.17,25.39,12.7,0.02,0.4,2.43,3.15,58.96,93.53,8.69,7.7006
2005-05-24,18.6,24.76,11.45,0.19,0.45,2.12,3.34,66.03,93.44,9.26,6.0948
2005-05-25,17.36,23.43,12.52,2.96,0.33,1.56,2.2,74.94,93.2,9.74,3.8465
2005-05-26,17.42,23.19,12.09,0.16,0.23,1.2,2.01,76.99,93.32,10.04,4.4357
2005-05-27,17.9,22.93,12.12,0.17,0.28,1.21,1.59,72.27,93.56,9.68,6.3029
2005-05-28,19.86,25.2,14.23,0.37,0.42,1.28,1.98,65.96,93.56,10.06,6.9079
2005-05-29,20.3,26.46,13.66,0.22,0.35,1.19,2.4,68.67,93.42,10.66,7.1825
2005-05-30,20.2,25.77,14.7,0.59,0.34,1.26,2.22,72.04,93.47,11.21,6.7598
2005-05-31,19.58,24.65,14.4,1.41,0.29,1.81,2.17,73.53,93.32,11.01,6.6226
2005-06-01,20.32,25.81,13.35,5.6,0.28,1.28,2.03,67.82,93.0,10.62,5.9688
2005-06-02,17.47,20.75,14.52,9.35,0.2,1.34,2.29,85.04,93.17,11.3,4.9416
2005-06-03,15.06,18.38,10.42,0.6,0.25,2.49,3.83,83.67,93.74,9.44,2.3906
2005-06-04,13.79,17.83,10.66,4.08,0.17,1.0,2.23,83.77,93.85,8.7,2.5378
2005-06-05,14.29,18.1,10.76,1.04,0.14,0.98,1.57,82.49,93.75,8.8,2.9131
2005-06-06,12.85,15.58,11.11,17.27,0.21,1.14,2.06,92.13,93.64,9.11,1.8862
2005-06-07,16.26,21.52,8.94,0.08,0.38,1.27,1.98,70.17,93.84,8.38,6.8333
2005-06-08,19.69,26.95,12.43,0.0,0.47,1.47,2.38,61.75,93.74,9.13,8.3978
2005-06-09,20.26,26.07,14.68,0.0,0.36,2.22,2.76,67.67,93.42,10.52,8.5814
2005-06-10,21.65,29.89,15.04,0.0,0.44,1.59,2.48,61.1,93.24,10.33,8.4293
2005-06-11,22.68,32.23,15.45,0.04,0.22,1.78,2.79,61.83,93.02,10.97,8.0232
2005-06-12,17.48,20.7,13.77,2.27,0.22,2.3,3.76,84.99,93.51,11.28,3.1946
2005-06-13,15.99,20.51,13.13,6.77,0.18,1.42,2.1,85.37,93.59,10.23,3.6905
2005-06-14,17.58,22.86,12.91,0.41,0.18,1.1,2.03,81.48,93.56,10.75,4.999
2005-06-15,19.75,24.93,14.27,4.81,0.26,1.13,2.33,75.54,93.53,11.4,5.2435
2005-06-16,16.68,19.86,13.12,11.32,0.24,1.79,3.28,86.13,93.6,10.85,1.877
2005-06-17,15.5,19.79,12.1,0.79,0.25,1.84,3.04,82.28,93.93,9.43,6.2417
2005-06-18,16.65,21.88,11.93,0.15,0.33,1.5,2.53,77.59,93.65,9.57,7.7064
2005-06-19,18.22,25.05,10.06,0.0,0.35,1.45,1.99,67.8,92.98,8.99,8.4048
2005-06-20,14.65,17.28,12.33,35.67,0.18,1.45,2.75,88.25,92.97,9.86,1.7232
2005-06-21,13.77,16.17,11.17,18.45,0.22,1.94,3.12,90.25,93.14,9.49,3.5702
2005-06-22,12.8,15.79,10.36,30.97,0.19,1.6,3.16,89.48,93.46,8.78,2.7898
2005-06-23,12.87,16.17,10.28,5.95,0.27,1.81,3.36,85.66,93.99,8.36,4.8626
2005-06-24,15.92,23.06,8.24,0.05,0.31,1.36,1.93,71.02,93.64,8.2,8.7444
2005-06-25,17.09,23.22,11.15,0.06,0.24,1.41,2.68,77.2,93.53,9.9,5.341
2005-06-26,16.54,20.73,12.55,2.36,0.18,1.23,2.15,83.14,93.51,10.3,3.69
2005-06-27,17.29,21.38,12.6,5.37,0.2,1.35,2.46,82.87,93.43,10.77,5.6952
2005-06-28,18.47,23.62,13.81,0.01,0.3,1.34,2.24,80.0,93.25,11.1,6.9554
2005-06-29,19.3,24.68,14.89,0.21,0.23,1.15,2.02,80.08,93.09,11.86,4.8562
2005-06-30,19.71,24.71,15.32,0.05,0.23,1.28,2.08,82.23,93.17,12.48,5.9256
2005-07-01,20.26,25.65,15.07,0.35,0.21,1.19,2.12,80.63,93.23,12.68,5.875
2005-07-02,21.53,27.51,16.21,0.12,0.18,0.98,1.79,79.76,93.16,13.5,7.4614
2005-07-03,22.97,30.13,17.59,0.34,0.32,1.24,1.97,72.59,92.84,13.34,5.9746
2005-07-04,24.54,32.62,17.0,0.14,0.28,1.75,2.13,66.95,92.48,13.53,8.1936
2005-07-05,22.33,26.66,18.32,12.96,0.27,1.75,2.72,79.91,92.49,14.45,4.7964
2005-07-06,18.5,20.71,15.7,23.3,0.27,2.54,4.12,91.55,93.0,13.09,4.411
2005-07-07,18.84,23.79,14.02,0.07,0.24,1.47,2.43,82.08,93.43,11.74,7.1916
2005-07-08,22.02,28.15,16.15,0.01,0.27,1.15,2.01,76.3,93.56,13.33,6.6384
2005-07-09,22.07,27.34,18.11,0.69,0.16,1.06,2.41,81.95,93.62,14.3,5.1869
2005-07-10,21.8,26.78,18.23,0.02,0.17,1.27,2.86,82.38,93.59,14.14,5.256
2005-07-11,21.05,25.41,17.02,0.09,0.2,1.76,2.88,84.12,93.68,13.83,4.8161
2005-07-12,20.77,25.62,16.77,0.12,0.24,1.74,3.06,83.02,93.66,13.36,6.792
2005-07-13,22.83,28.71,17.47,0.0,0.3,1.13,2.26,70.33,93.22,12.65,7.5394
2005-07-14,23.49,30.24,17.84,0.0,0.2,1.81,2.9,63.97,92.97,12.0,6.4534
2005-07-15,23.89,30.83,17.09,0.07,0.32,1.51,2.65,66.05,93.07,12.73,6.7085
2005-07-16,23.8,31.87,17.15,0.36,0.27,1.77,2.44,68.98,93.0,13.05,7.3694
2005-07-17,21.08,24.98,17.21,4.41,0.19,1.82,3.32,82.14,93.36,13.55,3.6533
2005-07-18,20.61,25.92,16.04,0.45,0.17,1.41,2.5,78.41,93.51,12.35,6.8599
2005-07-19,20.84,25.7,16.79,0.83,0.22,1.83,3.09,79.02,93.76,12.68,5.1
2005-07-20,21.07,27.08,15.94,0.02,0.21,1.38,2.56,77.9,93.64,12.59,7.2996
2005-07-21,22.22,28.35,17.08,0.02,0.2,1.19,2.43,75.06,93.33,13.03,6.1212
2005-07-22,23.73,29.93,18.46,0.06,0.23,1.18,2.27,73.5,93.17,14.06,6.497
2005-07-23,25.54,33.08,19.83,0.23,0.21,0.95,1.69,67.01,93.08,13.87,7.043
2005-07-24,25.72,33.5,19.15,0.02,0.28,1.39,1.96,59.73,93.02,12.4,7.6058
2005-07-25,24.55,32.23,19.86,0.21,0.22,1.34,2.65,69.54,93.16,13.72,6.0082
2005-07-26,23.15,28.22,19.09,1.6,0.17,1.4,2.5,79.78,93.47,14.8,3.8059
2005-07-27,22.61,27.72,19.0,3.61,0.18,1.42,2.58,80.06,93.66,14.35,4.9284
2005-07-28,25.67,34.04,19.02,0.11,0.21,1.11,2.2,63.92,93.51,13.11,6.7637
2005-07-29,25.59,32.77,19.27,0.06,0.24,1.37,2.03,63.14,93.36,13.11,6.5045
2005-07-30,24.93,31.24,19.58,0.01,0.15,1.15,2.58,71.31,93.21,14.51,6.247
2005-07-31,26.41,34.84,19.21,0.01,0.25,1.43,2.36,62.61,92.99,13.49,6.931
2005-08-01,25.83,32.31,20.23,1.1,0.22,1.23,2.19,65.22,92.93,13.78,4.7345
2005-08-02,21.25,24.55,19.32,14.5,0.19,1.17,2.32,80.39,92.93,13.62,1.644
2005-08-03,22.71,26.46,19.14,0.68,0.27,1.14,1.9,75.76,93.08,13.89,3.6768
2005-08-04,22.51,28.12,18.54,1.45,0.23,1.2,2.39,76.77,93.07,13.8,4.2103
2005-08-05,24.86,30.49,20.32,0.04,0.3,1.16,1.9,68.0,93.04,13.91,4.4196
2005-08-06,27.94,35.19,21.69,0.01,0.38,1.35,2.14,55.99,92.91,13.6,7.2552
2005-08-07,29.14,37.16,22.09,0.07,0.33,1.5,2.26,52.78,92.59,13.36,7.1774
2005-08-08,23.26,27.16,19.56,9.96,0.17,1.66,3.08,83.85,93.02,15.97,2.1242
2005-08-09,23.68,29.92,18.63,0.18,0.19,1.49,3.0,78.28,93.36,14.93,6.1471
2005-08-10,24.51,31.89,19.57,2.79,0.21,1.42,2.76,73.19,93.3,14.43,4.573
2005-08-11,20.94,25.04,18.47,31.76,0.16,1.7,3.15,88.13,93.33,14.51,3.0696
2005-08-12,20.48,24.73,16.69,18.83,0.19,1.44,2.77,85.75,93.55,13.67,4.9246
2005-08-13,21.59,27.06,16.71,0.02,0.24,1.17,2.4,74.05,93.69,12.19,5.9558
2005-08-14,22.58,28.74,17.11,0.1,0.25,1.09,2.1,72.69,93.55,13.0,6.1726
2005-08-15,24.84,32.7,17.69,0.0,0.34,1.43,2.27,60.67,93.29,11.93,6.9792
2005-08-16,26.76,34.93,19.51,0.0,0.38,1.42,2.27,56.28,93.21,12.58,6.9322
2005-08-17,27.62,37.37,21.5,0.03,0.37,1.51,2.4,56.6,93.18,13.34,6.4572
2005-08-18,27.32,36.11,21.19,0.03,0.21,1.79,3.29,49.56,93.14,11.28,6.5748
2005-08-19,24.43,30.21,20.4,0.66,0.19,1.65,3.13,73.06,93.25,14.61,5.934
2005-08-20,22.89,27.51,19.29,8.36,0.21,1.8,3.17,83.29,93.15,15.39,4.8206
2005-08-21,20.24,22.58,18.17,25.09,0.2,1.01,2.26,85.23,92.99,13.59,1.7818
2005-08-22,19.06,21.29,16.15,5.14,0.27,1.12,2.0,90.85,93.4,13.41,2.1612
2005-08-23,22.09,31.58,14.43,0.03,0.34,1.53,2.37,63.44,93.3,10.43,6.7286
2005-08-24,23.54,30.53,16.48,0.0,0.35,1.63,2.3,53.4,93.07,9.8,6.8806
2005-08-25,24.14,30.47,18.21,0.0,0.39,1.59,2.41,60.17,93.16,11.7,5.2927
2005-08-26,22.63,27.91,18.88,0.24,0.19,1.14,2.29,79.04,93.53,14.15,4.1587
2005-08-27,22.81,30.14,17.84,1.84,0.21,1.53,2.24,66.29,93.53,11.74,5.6333
2005-08-28,20.32,26.32,16.4,20.06,0.21,1.29,2.18,79.13,93.52,12.35,3.4399
2005-08-29,20.49,24.79,17.58,9.87,0.19,1.03,2.12,85.51,93.72,13.52,3.3226
2005-08-30,16.99,18.84,15.59,3.15,0.2,1.06,1.61,88.22,93.74,11.4,2.9033
2005-08-31,19.27,24.71,14.05,0.12,0.33,1.41,2.52,72.5,93.6,10.53,5.633
2005-09-01,19.06,24.52,14.07,0.89,0.31,1.39,2.47,78.71,93.32,11.28,5.5918
2005-09-02,18.4,23.3,14.82,5.61,0.23,1.36,2.78,77.94,93.48,10.64,2.6621
2005-09-03,17.45,22.4,13.73,0.25,0.25,1.34,2.58,76.14,93.57,9.77,4.2823
2005-09-04,15.63,20.46,12.74,21.76,0.19,1.21,2.61,84.85,93.4,9.93,1.2655
2005-09-05,14.59,17.8,12.75,32.09,0.24,1.98,3.42,93.6,93.56,10.37,1.6802
2005-09-06,14.28,17.65,11.84,0.14,0.31,1.76,2.68,83.84,94.12,8.99,5.2298
2005-09-07,16.16,23.28,8.88,0.0,0.31,1.38,2.13,75.74,94.0,8.99,6.0998
2005-09-08,17.51,23.79,12.12,0.01,0.41,1.42,2.03,75.38,93.9,9.78,4.7458
2005-09-09,18.21,24.39,12.62,0.1,0.27,2.5,3.03,69.12,93.71,9.45,5.3033
2005-09-10,19.4,26.01,14.74,0.59,0.19,1.62,2.75,73.5,93.4,10.88,3.5993
2005-09-11,18.04,22.0,13.91,8.32,0.23,1.38,2.98,85.48,93.22,11.83,2.6287
2005-09-12,16.25,20.43,13.51,0.56,0.37,1.71,3.25,85.73,93.5,10.47,3.1776
2005-09-13,16.89,21.41,13.37,0.41,0.34,1.48,2.77,83.68,93.81,10.54,4.0982
2005-09-14,17.2,22.22,13.13,0.01,0.3,1.19,2.26,82.5,93.84,10.55,4.8019
2005-09-15,18.66,25.71,12.82,0.01,0.34,1.3,2.06,75.16,93.37,10.51,5.5999
2005-09-16,20.11,27.08,14.37,0.0,0.47,1.55,2.33,69.43,93.15,10.64,5.5644
2005-09-17,23.27,33.3,16.98,0.0,0.52,1.32,2.16,54.47,93.22,9.81,4.921
2005-09-18,20.08,23.65,17.34,0.01,0.3,1.14,1.77,76.81,93.69,11.96,4.5895
2005-09-19,19.45,23.92,16.7,0.4,0.24,0.95,1.63,79.75,93.84,11.86,4.0121
